勤め先会社名,提携窓口会社名,対象確認方法,紹介状提出期限,特典率,手数料率,対象者,連絡先,連絡先②,担当名
富士通テクノリサーチ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0494,,宮本
富士通ディフェンスシステムエンジニアリング,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0493,,宮本
富士通ソフトウェアテクノロジーズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0492,,宮本
富士通ソーシャルライフシステムズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0491,,宮本
富士通ソーシアルサイエンスラボラトリ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0490,,宮本
富士通セミコンダクターITシステムズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0488,,宮本
富士通セミコンダクター,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0487,,宮本
富士通ゼネラル設備,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0485,,宮本
富士通ゼネラル情報システム,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0484,,宮本
富士通ゼネラル研究所,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0483,,宮本
富士通ゼネラルフィールドセールス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0480,,宮本
富士通ゼネラルハートウェア,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0486,,宮本
富士通ゼネラルエレクトロニクス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0482,,宮本
富士通ゼネラルイーエムシー研究所,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0481,,宮本
富士通ゼネラル,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0479,,宮本
富士通システム統合研究所,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0477,,宮本
富士通システムズウェブテクノロジー,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0476,,宮本
富士通システムズウエスト,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0475,,宮本
富士通システムズイースト,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0474,,宮本
富士通システムズアプリケーション＆サポート,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0530,,宮本
富士通コンポーネント,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0471,,宮本
富士通コンピュータテクノロジーズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0470,,宮本
富士通コワーコ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0469,,宮本
富士通コミュニケーションサービス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0468,,宮本
富士通コネクテッドテクノロジーズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0467,,宮本
富士通クラウドテクノロジーズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0529,,宮本
富士通クライアントコンピューティング,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0464,,宮本
富士通クオリティラボ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0463,,宮本
富士通クオリティ&ウィズダム,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0462,,宮本
富士通キャピタル,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0459,,宮本
富士通オプティカルコンポーネンツ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0455,,宮本
富士通エンジニアリングテクノロジーズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0454,,宮本
富士通エレクトロニクス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0453,,宮本
富士通エフネッツサービス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0528,,宮本
富士通エフサス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0452,,宮本
富士通エフオーエム,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0451,,宮本
富士通エフアイピー,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0450,,宮本
富士通インターコネクトテクノロジーズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0448,,宮本
富士通アプリコ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0447,,宮本
富士通アプリケーションズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0446,,宮本
富士通アドバンストテクノロジ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0445,,宮本
富士通アドバンストシステムズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0444,,宮本
富士通アドバンストエンジニアリング,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0443,,宮本
富士通アドバンスアカウンティングサービス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0442,,宮本
富士通アイネットワークシステムズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0441,,宮本
富士通アイソテック,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0438,,宮本
富士通japan,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0531,,宮本
富士通ＩＴマネジメントパートナー,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0440,,宮本
富士通ＩＴプロダクツ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0439,,宮本
富士通ＩＳサービス,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0437,,宮本
富士通ＨＲプロフェショナルズ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0449,,宮本
富士通CIT,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0472,,宮本
富士通,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0436,,宮本
富士工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
富士フイルム富山化学,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
富士フイルムBI山梨,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
富士クオリティハウス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
富士エコサイクル,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0435,,宮本
富山富士通,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0430,,宮本
浜松防衛事務所,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4231,,佐藤
品川シーズンテラスビルマネジメント,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
